"Abbreviation"	"Reaction"	"Description"
"R13178p"	"C03108[p] + C00001[p] <=> C00031[p] + C00319[p]"	"D-glucosylsphingosine glucohydrolase"
"R03933p"	"C05501[p] + C00007[p] + 2 C00662[p] + 2 C00080[p] <=> C02373[p] + C01953[p] + 2 C00001[p] + 2 C00667[p]"	"20alpha,22beta-dihydroxycholesterol,ferredoxin:oxygen oxidoreductase (side-chain-cleaving)"
"R13035p"	"C00489[p] + C00091[p] <=> C00527[p] + C00042[p]"	"X"
"R12905p"	"G13202[p] + G13187[p] <=> G13203[p] + C04574[p]"	"X"
"R02278p"	"C00684[p] <=> C00433[p] + C00001[p]"	"2-dehydro-3-deoxy-L-arabinonate hydro-lyase"
"R08239p"	"C04646[p] + C00019[p] <=> C16615[p] + C00021[p]"	"S-adenosyl-L-methionine:6-thioinosine 5'-monophosphate S-methyltransferase"
"R03744p"	"C00002[p] + C01867[p] <=> C00008[p] + C03157[p]"	"ATP:tau-protein O-phosphotransferase"
"R05571p"	"C06311[p] + C00003[p] <=> C01097[p] + C00004[p] + C00080[p]"	"galactitol-1-phosphate:NAD oxidoreductase"
"R02799p"	"C05959[p] + C00006[p] <=> C00696[p] + C00080[p] + C00005[p]"	"11-epi-prostaglandin F2alpha:NADP+ 11-oxidoreductase"
"R02644p"	"C01034[p] <=> C00619[p]"	"3-oxo-delta5-steroid delta5-delat4-isomerase"
"R08389p"	"C03889[p] + C00899[p] <=> C03455[p] + C04233[p]"	"phosphatidylcholine:retinol O-acyltransferase"
"R00791p"	"C00088[p] + C00001[p] + 2 C00139[p] <=> C00244[p] + 2 C00138[p]"	"nitrite:ferredoxin oxidoreductase"
"R01205p"	"C00052[p] + C00140[p] <=> C00015[p] + C00611[p]"	"UDP-alpha-D-galactose:N-acetyl-D-glucosamine 4-beta-D-galactosyltransferase"
"R05732p"	"C05176[p] + C03024[p] + C00007[p] <=> C05202[p] + C03161[p] + C00001[p]"	"(S)-N-methylcoclaurine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3'-hydroxylating)"
"R05118p"	"C06143[p] + C00001[p] <=> C11552[p] + C04546[p]"	"X"
"R00575p"	"2 C00002[p] + C00064[p] + C00288[p] + C00001[p] <=> 2 C00008[p] + C00009[p] + C00025[p] + C00169[p]"	"HCO3-:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)"
"R12862p"	"1 G10608[p] + G13166[p] <=> 1 G10619[p] + G13167[p]"	"X"
"R09764p"	"G11160[p] + C04121[p] <=> G13060[p] + C00055[p]"	"X"
"R06334p"	"C11860[p] <=> C11859[p]"	"X"
"R03881p"	"C02200[p] <=> C02467[p]"	"UDP-glucosamine 4-epimerase"
"R07386p"	"C04756[p] + C00114[p] <=> C00958[p] + C00189[p]"	"X"
"R00675p"	"C00078[p] + C00003[p] + C00001[p] <=> C00331[p] + C00014[p] + C00004[p] + C00080[p]"	"L-tryptophan:NAD+ oxidoreductase (deaminating)"
"R05966p"	"C00001[p] + G00095[p] <=> C01132[p] + G00094[p]"	"X"
"R06127p"	"G00005[p] + G10614[p] <=> G10526[p] + G10620[p]"	"GDP-mannose:glycolipid 1,2-alpha-D-mannosyltransferase"
"R04676p"	"C05499[p] + 2 C00007[p] + 4 C00080[p] + 4 C00662[p] <=> C05138[p] + C02373[p] + 3 C00001[p] + 4 C00667[p]"	"17alpha,20alpha-dihydroxycholesterol:oxygen oxidoreductase (side-chain-cleaving)"
"R09565p"	"C01424[p] + C00007[p] <=> C04434[p]"	"gallate:oxygen oxidoreductase"
"R08419p"	"C01672[p] <=> C10783[p]"	"X"
"R09544p"	"C19674[p] + C00003[p] <=> C00231[p] + C00004[p] + C00080[p]"	"D-arabitol-phosphate:NAD+ oxidoreductase"
"R01256p"	"C00002[p] + C00149[p] + C00010[p] <=> C00008[p] + C00009[p] + C04348[p]"	"(S)-malate:CoA ligase (ADP-forming)"
"R11184p"	"C00002[p] + C06802[p] <=> C00008[p] + C21156[p]"	"ATP:acarbose 7IV-phosphotransferase"
"R12773p"	"C22386[p] + C21097[p] <=> C00020[p] + C21976[p]"	"X"
"R08868p"	"C06367[p] <=> C17946[p]"	"1-carboxyvinyl carboxyphosphonate phosphorylmutase"
"R11773p"	"C00100[p] + C00042[p] <=> C00091[p] + C00163[p]"	"propionyl-CoA:succinate CoA transferase"
"R05955p"	"G10616[p] + G00121[p] <=> G10621[p] + G00122[p]"	"X"
"R01742p"	"C00257[p] + C00028[p] <=> C06473[p] + C00030[p]"	"D-gluconate:acceptor 2-oxidoreductase"
"R09662p"	"C19790[p] + C00003[p] <=> C00176[p] + C00004[p] + C00080[p]"	"flavin:NAD+ oxidoreductase"
"R07296p"	"C01794[p] + C00001[p] <=> C00695[p] + C00010[p]"	"choloyl-CoA hydrolase"
"R02353p"	"C00951[p] + C00006[p] <=> C00468[p] + C00005[p] + C00080[p]"	"estradiol-17beta:NADP+ 17-oxidoreductase"
"R09838p"	"C00582[p] + C00007[p] + C00005[p] + C00080[p] <=> C20062[p] + C00001[p] + C00006[p]"	"phenylacetyl-CoA:oxygen oxidoreductase (1,2-epoxidizing)"
"R10795p"	"C06429[p] + C03024[p] + C00007[p] <=> C20855[p] + C03161[p] + C00001[p]"	"docosahexaenoate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (22-hydroxydocosahexaenoate forming)"
"R09934p"	"C09684[p] + C00007[p] + C03024[p] <=> C20229[p] + C03161[p] + C00001[p]"	"alpha-humulene,[reduced NADPH---hemoprotein reductase]:oxygen 10-oxidoreductase"
"R05705p"	"C01847[p] + C00003[p] <=> C00061[p] + C00004[p] + C00080[p]"	"FMNH2:NAD+ oxidoreductase"
"R04109p"	"C02987[p] + C00005[p] + C00080[p] <=> C03741[p] + C01641[p] + C00006[p]"	"L-glutamate-semialdehyde: NADP+ oxidoreductase (L-glutamyl-tRNA(Glu)-forming)"
"R04920p"	"C05673[p] + C00641[p] <=> C00055[p] + C05675[p]"	"CMP-2-aminoethylphosphonate:1,2-diacylglycerol (2-aminoethylphosphonyl)transferase"
"R09969p"	"C00341[p] <=> C09900[p] + C00013[p]"	"geranyl-diphosphate diphosphate-lyase (cyclizing, gamma-terpinene-forming)"
"R11870p"	"C00353[p] <=> C21654[p]"	"(+)-kolavenyl-diphosphate lyase (ring-opening)"
"R05778p"	"C01179[p] + C00007[p] <=> C11527[p] + C00011[p]"	"4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)"
"R02058p"	"C00024[p] + C00352[p] <=> C00010[p] + C00357[p]"	"acetyl-CoA:D-glucosamine-6-phosphate N-acetyltransferase"
"R12536p"	"C22236[p] + C04253[p] <=> C21283[p] + C04570[p]"	"3-(1H-indol-3-yl)propanoate:electron-transfer flavoprotein 2,3-oxidoreductase"
"R12351p"	"G13128[p] + C00350[p] <=> G00148[p] + C00641[p]"	"X"
"R08779p"	"C00886[p] + C05893[p] <=> C01635[p] + C17550[p]"	"L-alanyl-tRNA:undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine N6-alanyltransferase"
"R08245p"	"C07648[p] + C00119[p] <=> C16619[p] + C00013[p]"	"6-thioguanosine monophosphate:diphosphate phospho-D-ribosyltransferase"
"R02157p"	"C00019[p] + C00389[p] <=> C00021[p] + C04443[p]"	"S-adenosyl-L-methionine:3,5,7,3',4'-pentahydroxyfavone 3-O-methyltransferase"
"R08265p"	"C01516[p] + C03024[p] + C00007[p] <=> C11785[p] + C00067[p] + C03161[p] + C00001[p]"	"X"
"R05210p"	"C06161[p] + C05243[p] + C03024[p] + C00007[p] <=> C06512[p] + C03161[p] + 2 C00001[p]"	"(S)-coclaurine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (C-O phenol-coupling)"
"R03018p"	"C00002[p] + C00864[p] <=> C00008[p] + C03492[p]"	"ATP:pantothenate 4'-phosphotransferase"
"R00448p"	"C00047[p] + C00007[p] + C00005[p] + C00080[p] <=> C01028[p] + C00006[p] + C00001[p]"	"L-lysine,NADPH:oxygen oxidoreductase (6-hydroxylating)"
"R09658p"	"C19759[p] + C15602[p] <=> C15858[p] + C15603[p]"	"7,9,9'-tricis-neurosporene:quinone oxidoreductase"
"R12723p"	"C00002[p] + C00037[p] + C21097[p] <=> C00020[p] + C00013[p] + C22362[p]"	"glycine:[glycyl-carrier protein] ligase (AMP-forming)"
"R09451p"	"C00249[p] + C03024[p] + C00007[p] <=> C18218[p] + C03161[p] + C00001[p]"	"hexadecanoic acid:fatty acid omega-hydroxylase"
"R04318p"	"C05551[p] + C00001[p] <=> C16672[p]"	"penicillin-G hydrolase"
"R08822p"	"C08539[p] + C00029[p] <=> C08540[p] + C00015[p]"	"UDP-glucose:betanidin 5-O-beta-D-glucosyltransferase"
"R02225p"	"C00002[p] + C00413[p] <=> C00008[p] + C01138[p]"	"ATP:streptomycin 6-phosphotransferase"
"R11877p"	"C21738[p] + C00006[p] <=> C21739[p] + C00005[p] + C00080[p]"	"(3R)-2'-hydroxyisoflavanone:NADP+ 4-oxidoreductase"
"R07222p"	"C00582[p] + C00001[p] + 2 C15602[p] <=> C15524[p] + 2 C15603[p]"	"phenylacetyl-CoA:quinone oxidoreductase"
"R09714p"	"C00353[p] <=> C19815[p]"	"terpentedienyl-diphosphate lyase (decyclizing)"
"R06120p"	"C00341[p] <=> C06099[p] + C00013[p]"	"geranyldiphosphate diphosphate lyase [(+)-(R)-limonene-forming]"
"R13003p"	"C06398[p] + G00651[p] <=> C00008[p] + G06499[p]"	"ADP-L-glycero-beta-D-manno-heptose:an alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-[lipid A] 5-alpha-heptosyltransferase"
"R09163p"	"C18250[p] + C00007[p] <=> C18252[p]"	"X"
"R08290p"	"C16556[p] <=> C16558[p]"	"X"
"R08325p"	"C07185[p] + C00005[p] + C00080[p] + C00007[p] <=> C16649[p] + C00006[p] + C00001[p]"	"X"
"R12122p"	"C11882[p] + 2 C03024[p] + 2 C00007[p] <=> C06087[p] + 2 C03161[p] + 3 C00001[p]"	"abieta-7,13-dien-18-ol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (18-hydroxylating)"
"R12421p"	"C22148[p] <=> C22149[p]"	"X"
"R11934p"	"2 C00019[p] + C21778[p] <=> 2 C00021[p] + C07576[p]"	"S-adenosyl-L-methionine:norbaeocystin N,N-dimethyltransferase;"
"R12445p"	"C22169[p] + C03024[p] + C00007[p] <=> C22170[p] + C03161[p] + 2 C00001[p]"	"X"
"R13345p"	"C22935[p] + C00006[p] <=> C22934[p] + C00005[p] + C00080[p]"	"precondylocarpine acetate:NADP+ oxidoreductase"
"R12246p"	"C00002[p] + C22031[p] <=> C00008[p] + C22032[p]"	"ATP:cytidine 5'-diphosphoramidate 3'-phosphotransferase"
"R06651p"	"C12397[p] <=> C12398[p]"	"X"
"R09307p"	"C18354[p] <=> C18356[p]"	"X"
"R13072p"	"C05631[p] + C00004[p] + C00080[p] <=> C22567[p] + C00003[p]"	"X"
"R11523p"	"C20729[p] <=> C21437[p]"	"X"
"R01512p"	"C00002[p] + C00197[p] <=> C00008[p] + C00236[p]"	"ATP:3-phospho-D-glycerate 1-phosphotransferase"
"R09267p"	"C18334[p] <=> C18335[p] + 2 C00001[p]"	"X"
"R03283p"	"C01149[p] + C00003[p] + C00001[p] <=> C01181[p] + C00004[p] + C00080[p]"	"4-trimethylammoniobutanal:NAD+ 1-oxidoreductase;"
"R02410p"	"C00492[p] + C00001[p] <=> C05402[p] + C00095[p]"	"raffinose fructohydrolase"
"R02269p"	"C00429[p] + C00001[p] <=> C02642[p]"	"5,6-dihydrouracil amidohydrolase"
"R12533p"	"C19967[p] + C00001[p] <=> C20176[p] + C00009[p]"	"8-oxo-dGTP diphosphohydrolase"
"R09033p"	"C02139[p] + 2 C00080[p] <=> C18021[p] + C00305[p]"	"chlorophyllide magnesium-lyase (pheophorbide-forming)"
"R12775p"	"C06427[p] + C00007[p] <=> C16341[p]"	"X"
"R02315p"	"C00449[p] + C00006[p] + C00001[p] <=> C00025[p] + C04076[p] + C00005[p] + C00080[p]"	"N6-(L-1,3-dicarboxypropyl)-L-lysine:NADP+ oxidoreductase"
"R10714p"	"C04180[p] <=> C20794[p]"	"X"
"R08406p"	"C02133[p] + C00095[p] <=> C00060[p] + C00085[p]"	"acyl-phosphate:D-fructose phosphotransferase"
"R10144p"	"C20398[p] + C00026[p] + C00007[p] <=> C20397[p] + C00042[p] + C00011[p]"	"pentalenolactone-E,2-oxoglutarate:oxygen oxidoreductase"
"R11317p"	"G05477[p] + C00001[p] <=> G10920[p] + C00140[p]"	"X"
"R05355p"	"C06329[p] + C00004[p] <=> C02222[p] + C00003[p] + C00698[p]"	"X"
"R09419p"	"C00083[p] + C00040[p] <=> C00264[p] + C00010[p] + C00011[p]"	"acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating)"
"R09948p"	"C20231[p] + C00001[p] <=> C20249[p] + C00011[p] + C00014[p]"	"(Z)-3-ureidoacrylate peracid amidohydrolase"
"R01881p"	"C00002[p] + C00300[p] <=> C00008[p] + C02305[p]"	"ATP:creatine N-phosphotransferase"
"R05171p"	"C06382[p] <=> C06383[p] + C00011[p]"	"N-(carboxyaminomethyl)urea aminohydrolase"
"R07167p"	"C00245[p] + C00001[p] + C00028[p] <=> C00593[p] + C00014[p] + C00030[p]"	"taurine:(acceptor) oxidoreductase (deaminating)"
"R04563p"	"C00002[p] + C00120[p] + C04736[p] <=> C00020[p] + C00013[p] + C04682[p]"	"biotin:apo[methylmalonyl-CoA:pyruvate carboxyltransferase] ligase (AMP-forming)"
"R06054p"	"C06744[p] + C00001[p] <=> C01187[p] + C00338[p]"	"X"
"R08276p"	"C07888[p] <=> C16550[p] + C06754[p]"	"X"
"R03899p"	"C02567[p] + C00007[p] + C00001[p] <=> C00315[p] + C18170[p] + C00027[p]"	"N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming)"
"R03125p"	"C00974[p] + 2 C03024[p] + 2 C00007[p] <=> C02906[p] + 2 C03161[p] + 2 C00001[p]"	"dihydrokaempferol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase"
"R12539p"	"C22238[p] + C00004[p] <=> C00061[p] + C00001[p] + C00003[p] + C00080[p]"	"X"
"R11868p"	"C21733[p] <=> C21734[p]"	"pre-alpha-onocerin mutase (cyclizing, alpha-onocerin-forming)"
"R08480p"	"C00002[p] + C08312[p] <=> C00008[p] + C07576[p]"	"ATP:psilocin 4-phosphotransferase"
"R12396p"	"C00002[p] + C00249[p] <=> C00013[p] + C22135[p]"	"palmitate:holo-[(hydroxy)phthioceranic acid synthase] ligase"
"R04033p"	"C00019[p] + C02735[p] <=> C00021[p] + C03711[p]"	"S-adenosyl-L-methionine:phenylethanolamine N-methyltransferase"
"R02441p"	"C00532[p] + C00003[p] <=> C00508[p] + C00004[p] + C00080[p]"	"L-arabitol:NAD+ 2-oxidoreductase (L-ribulose-forming)"
"R00875p"	"C00794[p] + C00003[p] <=> C00095[p] + C00004[p] + C00080[p]"	"D-glucitol:NAD+ 2-oxidoreductase"
"R05734p"	"C11509[p] + 2 C00999[p] + C00007[p] + 2 C00080[p] <=> C04840[p] + 2 C00996[p] + C00001[p]"	"3beta-hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde,ferrocytochrome-b5:oxygen oxidoreductase (hydroxylating)"
"R08390p"	"C00777[p] + C03024[p] + C00007[p] <=> C16679[p] + C03161[p] + C00001[p]"	"X"
"R06253p"	"G00110[p] + C00270[p] <=> G00111[p] + C00001[p]"	"X"
"R08924p"	"C00002[p] + C00288[p] + C00136[p] + C00080[p] <=> C00008[p] + C00009[p] + C18026[p]"	"butanoyl-CoA:carbon-dioxide ligase (ADP-forming)"
"R12806p"	"1 C00513[p] + C21464[p] <=> 1 C00055[p] + C22411[p]"	"CDP-glycerol:4-O-[(2R)-1-glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol glycerophosphotransferase"
"R08847p"	"C10447[p] <=> C22038[p]"	"X"
"R09134p"	"C18240[p] + C00007[p] <=> C18241[p]"	"tetrachlorocatechol:oxygen 1,2-oxidoreductase"
"R10100p"	"C00024[p] + C20359[p] <=> C00010[p] + C19725[p]"	"acetyl-CoA:UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate 3-N-acetyltransferase"
"R03625p"	"C00029[p] + C02659[p] <=> C00015[p] + C01594[p]"	"UDPglucose:2-hydroxy-2-methylpropanenitrile beta-D-glucosyltransferase"
"R11371p"	"C00019[p] + C21312[p] <=> C00021[p] + C21313[p]"	"S-adenosyl-L-methionine:6-methylsalicylyl-CoA 3-C-methyltransferase"
"R03163p"	"C01019[p] <=> C01721[p]"	"L-fucose aldose-ketose-isomerase"
"R05611p"	"C04146[p] + C00013[p] <=> C04216[p] + C00129[p]"	"X"
"R12003p"	"C08601[p] <=> C21836[p]"	"lutein Delta4-Delta5-isomerase"
"R11616p"	"C21505[p] + 9 C00083[p] + 18 C00005[p] + 18 C00080[p] <=> C21507[p] + 9 C00011[p] + 9 C00010[p] + 18 C00006[p] + 9 C00001[p]"	"malonyl-CoA:4-hydroxybenzoyl-[4-hydroxyphenylalkanoate synthase] malonyltransferase (4-hydroxyphenylalkanoate-forming)"
"R05948p"	"G10609[p] + G00114[p] <=> G10619[p] + G00115[p]"	"X"
"R02514p"	"C00642[p] + C00007[p] + C00004[p] + C00080[p] <=> C00544[p] + C00003[p] + C00001[p]"	"4-hydroxyphenylacetate,NADH:oxygen oxidoreductase (1-hydroxylating)"
"R11072p"	"C01304[p] <=> C05925[p] + C00001[p]"	"2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one cyclohydrolase"
"R09880p"	"C04058[p] + C00001[p] <=> C00002[p] + C00008[p]"	"P1,P5-bis(5'-adenosyl)pentaphosphate nucleotidohydrolase (ATP-forming)"
"R02969p"	"C02287[p] + C00003[p] <=> C00830[p] + C00004[p] + C00080[p]"	"hydroxymalonate:NAD+ oxidoreductase"
"R11277p"	"C21258[p] + C00005[p] + C00080[p] <=> C21259[p] + C00006[p]"	"nebramine:NADP+ 4'-oxidoreductase"
"R06364p"	"C00570[p] + C03201[p] <=> C00055[p] + C04475[p]"	"CDPethanolamine:1-alkyl-2-acylglycerol ethanolaminephosphotransferase"
"R11424p"	"C21375[p] + C00004[p] + C00080[p] + C00007[p] <=> C21376[p] + C00003[p] + C00001[p]"	"3-hydroxy-4-methylanthranilyl-[aryl-carrier protein],NADH:oxygen oxidoreductase (5-hydroxylating)"
"R12281p"	"2 C00353[p] + C00005[p] + C00080[p] <=> C22055[p] + 2 C00013[p] + C00006[p]"	"geranylgeranyl-diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase (lycopaoctaene-forming)"
"R04966p"	"C05761[p] + C00003[p] <=> C05760[p] + C00004[p] + C00080[p]"	"tetradecanoyl-[acp]:NAD+ trans-2-oxidoreductase"
"R03148p"	"C02306[p] + C00738[p] <=> C00014[p] + C01171[p]"	"phosphoramidate:hexose 1-phosphotransferase"
"R13182p"	"C00019[p] + C00853[p] <=> C00021[p] + C06453[p]"	"X"
"R05428p"	"C07215[p] + C00007[p] + C00004[p] + C00080[p] <=> C06731[p] + C00003[p]"	"X"
"R09277p"	"C18349[p] + C00001[p] <=> C18338[p] + C06035[p]"	"4-[2-(5-carboxy-2-hydroxy-3-methoxyphenyl)-2-oxoethylidene]-2-hydroxy-2-pentenedioate 5-carboxy-2-hydroxy-3-methoxybenzoylhydrolase"
"R00472p"	"C00149[p] + C00010[p] <=> C00024[p] + C00001[p] + C00048[p]"	"acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming);"
"R02733p"	"C04390[p] + C00001[p] <=> C00033[p] + C00666[p]"	"N6-acetyl-LL-2,6-diaminoheptanedioate amidohydrolase"
"R02859p"	"C00019[p] + C02400[p] <=> C00021[p] + C00744[p]"	"S-adenosyl-L-methionine:demethylmacrocin 2'''-O-methyltransferase"
"R05903p"	"G10609[p] + G00102[p] <=> G10619[p] + G00103[p]"	"X"
"R00076p"	"4 C00002[p] + 2 C02308[p] <=> 4 C00008[p] + C02307[p]"	"ATP:phosphorylase-b phosphotransferase;"
"R10384p"	"C20545[p] + 2 C00235[p] <=> C20594[p] + 2 C00013[p]"	"X"
"R11008p"	"C00187[p] + C00007[p] + C00005[p] + C00080[p] <=> C01164[p] + C00006[p] + 2 C00001[p]"	"cholesterol,NADPH:oxygen oxidoreductase (7,8 dehydrogenating)"
"R04867p"	"C00019[p] + C05545[p] <=> C00021[p] + C05546[p]"	"S-adenosyl-L-methionine:cytochrome-c-L-lysine N6-methyltransferase"
"R11837p"	"C00448[p] + C00001[p] <=> C21694[p] + C00013[p]"	"(2E,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, 10-epi-juneol-forming)"
"R03628p"	"C01598[p] + C00007[p] <=> C05642[p]"	"melatonin:oxygen 2,3-dioxygenase (indole-decyclizing)"
"R11382p"	"C21330[p] + C00004[p] + C00080[p] + C00007[p] <=> C21141[p] + C00003[p] + C00001[p]"	"aurachin C:NADH:oxygen oxidoreductase (4-hydroxy-2-methyl-3-oxo-4-farnesyl-3,4-dihydroquinoline-1-oxide-forming)"
"R03655p"	"C00002[p] + C00135[p] + C01643[p] <=> C00020[p] + C00013[p] + C02988[p]"	"L-histidine:tRNA(His) ligase (AMP-forming)"
"R11776p"	"C21666[p] + C00006[p] <=> C21668[p] + C00005[p] + C00080[p]"	"(3R,4R)-3-[(1S)-1-hydroxyalkyl]-4-(hydroxymethyl)oxolan-2-one:NADP+ 1'-oxidoreductase"
"R04024p"	"C00024[p] + C02720[p] <=> C00010[p] + C02709[p]"	"acetyl-CoA:N-hydroxyarylamine O-acetyltransferase"
"R12660p"	"3 C00083[p] + 5 C02557[p] + 7 C00005[p] + 7 C00080[p] <=> C15685[p] + 8 C00010[p] + 8 C00011[p] + 4 C00001[p] + 7 C00006[p]"	"X"
"R11859p"	"C21727[p] <=> C21728[p] + C00013[p]"	"(13E)-labda-7,13-dien-15-yl-diphosphate diphosphate-lyase [labda-7,13(16),14-triene-forming]"
"R12198p"	"C21982[p] + C00001[p] <=> C21983[p] + C22001[p]"	"lipid-IVB hydroxyacylhydrolase"
"R03207p"	"C01060[p] + C00026[p] <=> C01244[p] + C00025[p]"	"3,5-diiodo-L-tyrosine:2-oxoglutarate aminotransferase"
"R07035p"	"2 C00051[p] + C05966[p] <=> C00127[p] + C04742[p] + C00001[p]"	"glutathione: 15-HPETE oxidoreductase"
"R09785p"	"C00062[p] + C00026[p] + C00007[p] <=> C01165[p] + C17349[p] + C00042[p] + C00011[p]"	"L-arginine,2-oxoglutarate:oxygen oxidoreductase (succinate-forming)"
"R00931p"	"C02225[p] + C00010[p] <=> C00100[p] + C00036[p] + C00001[p]"	"propanoyl-CoA:oxaloacetate C-propanoyltransferase (thioester-hydrolysing, 1-carboxyethyl-forming);"
"R10980p"	"C02240[p] + C00001[p] <=> C02804[p]"	"5-valerolactone lactonohydrolase"
"R04579p"	"C00029[p] + C04720[p] <=> C00015[p] + C04831[p]"	"UDP-alpha-D-glucose:2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-beta-D-glucosyltransferase"
"R12451p"	"C06455[p] + C00007[p] <=> C00058[p] + C00009[p]"	"(hydroxymethyl)phosphonate:oxygen 1-oxidoreductase (formate-forming)"
"R06084p"	"G00275[p] + C00001[p] <=> 2 C00267[p]"	"X"
"R01091p"	"C00123[p] <=> C02486[p]"	"(2S)-alpha-leucine 2,3-aminomutase"
"R09568p"	"C19700[p] + C00001[p] <=> C19699[p] + C00221[p]"	"4'-demethylrebeccamycin D-glucose-lyase"
"R04879p"	"C16674[p] + C00001[p] <=> C16673[p]"	"X"
"R04487p"	"C05463[p] + C00001[p] <=> C04483[p] + C00245[p]"	"taurodeoxycholate amidohydrolase"
"R06770p"	"C12474[p] + C12481[p] <=> C12475[p] + C00363[p]"	"dTDP-4-O-demethyl-beta-L-noviose:novobiocic-acid 7-O-[4-O-demethyl-L-noviosyl]transferase"
"R13303p"	"C00235[p] + C21974[p] <=> C22903[p] + C00013[p]"	"prenyl-diphosphate:hapalindole G prenyltransferase (ambiguine A-forming)"
"R00341p"	"C00002[p] + C00036[p] <=> C00008[p] + C00074[p] + C00011[p]"	"ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)"
"R06745p"	"C00423[p] <=> C01416[p]"	"X"
"R04665p"	"C00043[p] + C04944[p] <=> C00015[p] + C05159[p]"	"UDP-N-acetyl-D-glucosamine:6-[2-(N-acetyl-beta-D-glucosaminyl)-alpha-D-mannosyl]-glycoprotein 6-beta-N-acetyl-D-glucosaminyltransferase"
"R02331p"	"C00002[p] + C01346[p] <=> C00008[p] + C00460[p]"	"ATP:dUDP phosphotransferase"
"R08808p"	"C17740[p] + C00406[p] + C00001[p] <=> C17742[p] + 2 C00010[p] + C00011[p]"	"feruloyl-CoA:p-coumaroyl-diketide-CoA C-feruloyltransferase (thioester-hydrolysing and decarboxylating)"
"R03224p"	"C01086[p] <=> C01122[p] + C00001[p]"	"(3R)-3-hydroxyacyl-CoA hydro-lyase"
"R06392p"	"C11414[p] + C00001[p] <=> C11417[p]"	"4-isopropenyl-7-methyloxepan-2-one lactonohydrolase"
"R03733p"	"C01620[p] + C00003[p] <=> C03064[p] + C00004[p] + C00080[p]"	"L-threonate:NAD+ 3-oxidoreductase"
"R13142p"	"C21103[p] + C00001[p] <=> C22290[p] + C00698[p]"	"X"
"R06128p"	"G10526[p] + G10614[p] <=> G00006[p] + G10620[p]"	"GDP-mannose:glycolipid 1,2-alpha-D-mannosyltransferase"
"R06038p"	"G10615[p] + G00067[p] <=> G10620[p] + G00089[p]"	"X"
"R13018p"	"C22520[p] + C03024[p] + C00007[p] <=> C22521[p] + C03161[p] + C00001[p]"	"2alpha-hydroxytaxusin,[reduced NADPH---hemoprotein reductase]:oxygen 7-oxidoreductase"
"R05316p"	"C02949[p] + C00138[p] <=> C00512[p] + C00139[p] + C00001[p]"	"benzoyl-CoA:acceptor oxidoreductase"
"R08558p"	"C00114[p] + C00006[p] <=> C00576[p] + C00005[p] + C00080[p]"	"X"
"R05703p"	"C01189[p] + C00006[p] <=> C05439[p] + C00005[p] + C00080[p]"	"lanosterol D24-reductase"
"R07803p"	"C07728[p] <=> C00090[p]"	"X"
"R12342p"	"C00008[p] + C00065[p] <=> C00020[p] + C01005[p]"	"ADP:L-serine 3-phosphotransferase"
"R04101p"	"C06387[p] + C00001[p] <=> C02949[p] + C00698[p] + C00080[p]"	"4-chlorobenzoyl CoA chlorohydrolase"
"R01105p"	"C05796[p] + C00001[p] <=> C00124[p] + C05796[p]"	"galactan galactohydrolase"
"R04891p"	"C05583[p] + C00003[p] + C00001[p] <=> C05584[p] + C00004[p] + C00080[p]"	"3-methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase"
"R06325p"	"C11859[p] <=> C11862[p]"	"X"
"R08891p"	"C17581[p] + C00064[p] <=> C02627[p] + C00940[p]"	"L-glutamine:3-amino-2,3-dideoxy-scyllo-inosose aminotransferase"
"R10452p"	"C00019[p] + C00954[p] <=> C00021[p] + C20635[p]"	"S-adenosyl-L-methionine:(indol-3-yl)acetate O-methyltransferase"
"R04326p"	"C03838[p] + C00445[p] + C00001[p] <=> C04376[p] + C00101[p]"	"X"
