"Abbreviation"	"Description"	"Formula"
"C21065[p]"	"7,8-Dihydroxanthopterin"	"C6H7N5O2"
"C21068[p]"	"[5-(Aminomethyl)furan-3-yl]methyl phosphate"	"C6H10NO5P"
"C21069[p]"	"[5-(Aminomethyl)furan-3-yl]methyl diphosphate"	"C6H11NO8P2"
"C21070[p]"	"(4-{4-[2-(gamma-L-Glutamylamino)ethyl]phenoxymethyl}furan-2-yl)methanamine"	"C19H25N3O5"
"C21071[p]"	"dTDP-3-O-methyl-4-oxo-2,6-dideoxy-L-mannose"	"C17H26N2O14P2"
"C21072[p]"	"Palmitoleoyl-CoA"	"C37H64N7O17P3S"
"C21073[p]"	"dTDP-3-N,N-dimethylamino-2,3,6-trideoxy-4-keto-D-glucose"	"C18H29N3O13P2"
"C21074[p]"	"dTDP-3-N,N-dimethylamino-4-oxo-2,3,6-trideoxy-L-allose"	"C18H29N3O13P2"
"C21075[p]"	"5-(N-Methyl-4,5-dihydro-1H-pyrrol-2-yl)pyridin-2-ol"	"C10H12N2O"
"C21076[p]"	"Delta4-Dafachronic acid"	"C27H42O3"
"C21078[p]"	"2,6-Dimethyldeca-2,4,6,8-tetraenedial"	"C12H14O2"
"C21079[p]"	"5'-Dehydrouridine"	"C9H10N2O6"
"C21080[p]"	"7-Hydroxydodecanoate"	"C12H24O3"
"C21081[p]"	"Gentisyl-CoA"	"C28H40N7O19P3S"
"C21082[p]"	"(5Z,11Z,14Z)-Icosa-5,11,14-trienoyl-CoA"	"C41H68N7O17P3S"
"C21083[p]"	"(5Z,11Z,14Z,17Z)-Icosa-5,11,14,17-tetraenoyl-CoA"	"C41H66N7O17P3S"
"C21084[p]"	"Demethylphylloquinol"	"C30H46O2"
"C21085[p]"	"3-[(1E,4R)-4-Hydroxycyclohex-2-en-1-ylidene]-2-oxopropanoate"	"C9H10O4"
"C21086[p]"	"(3E)-3-[(1R,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoate"	"C9H10O5"
"C21087[p]"	"3-[(1R,2S,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-yl]-2-oxopropanoate"	"C9H12O5"
"C21088[p]"	"L-Altarate"	"C6H10O8"
"C21089[p]"	"(R)-2-Hydroxyisocaproyl-CoA"	"C27H46N7O18P3S"
"C21090[p]"	"Isocaprenoyl-CoA"	"C27H44N7O17P3S"
"C21091[p]"	"(2S,3R)-2,3-Dihydroxy-5-oxohexanedioate"	"C6H8O7"
"C21092[p]"	"D-allo-Isoleucine"	"C6H13NO2"
"C21093[p]"	"Terpentecin"	"C20H28O6"
"C21094[p]"	"7,8-Dihydromonapterin 3'-triphosphate"	"C9H16N5O13P3"
"C21095[p]"	"D-Glucaro-1,4-lactone"	"C6H8O7"
"C21096[p]"	"L-allo-Isoleucine"	"C6H13NO2"
"C21097[p]"	"Peptidyl-carrier protein"	"HSR"
"C21098[p]"	"L-allo-Isoleucyl-[peptidyl-carrier protein]"	"C6H12NOSR"
"C21099[p]"	"L-Arginyl-L-amino acid"	"C8H16N5O3R"
"C21100[p]"	"Caldopentamine"	"C12H31N5"
"C21101[p]"	"Protein N(omega)-phospho-L-arginine"	"C7H14N5O5PR2"
"C21102[p]"	"5'-Deoxyinosine"	"C10H12N4O4"
"C21103[p]"	"2,6-Dichloro-p-benzoquinone"	"C6H2Cl2O2"
"C21104[p]"	"2,5-Dichloro-p-benzoquinone"	"C6H2Cl2O2"
"C21105[p]"	"5-Chloro-2-hydroxy-p-benzoquinone"	"C6H3ClO3"
"C21106[p]"	"24-epi-Campesterol"	"C28H48O"
"C21107[p]"	"4-(beta-D-Ribofuranosyl)phenol 5'-phosphate"	"C11H15O8P"
"C21108[p]"	"Dihydromonacolin L-[acyl-carrier protein]"	"C19H31O3SR"
"C21109[p]"	"Aminopyrrolnitrin"	"C10H8Cl2N2"
"C21110[p]"	"Monodechloroaminopyrrolnitrin"	"C10H9ClN2"
"C21113[p]"	"NMNH"	"C11H17N2O8P"
"C21114[p]"	"(4Z)-Hexadec-4-enoyl-[acyl-carrier protein]"	"C16H29OSR"
"C21115[p]"	"(6Z)-Hexadec-6-enoyl-[acyl-carrier protein]"	"C16H29OSR"
"C21116[p]"	"Hydroxysqualene"	"C30H50O"
"C21117[p]"	"Adenosylhopane"	"C40H63N5O3"
"C21118[p]"	"Ribosylhopane"	"C35H60O4"
"C21119[p]"	"Bacteriohopanetetrol"	"C35H62O4"
"C21120[p]"	"Bacteriohopanetetrol-acetylglucosamine"	"C43H75NO9"
"C21123[p]"	"Aminobacteriohopanetriol"	"C35H63NO3"
"C21124[p]"	"IPA imine"	"C11H10N2O2"
"C21125[p]"	"Chromopyrrolate"	"C22H15N3O4"
"C21126[p]"	"K-252c"	"C20H13N3O"
"C21127[p]"	"Holyrine A"	"C26H24N4O3"
"C21128[p]"	"O-Demethyl-N-demethyl-staurosporine"	"C26H22N4O3"
"C21129[p]"	"(S)-2-Methylbutanoyl-[acp]"	"C5H9OSR"
"C21130[p]"	"Lovastatin acid"	"C24H38O6"
"C21131[p]"	"Protodeoxyviolaceinic acid"	"C21H15N3O2"
"C21132[p]"	"Deoxyviolaceinic acid"	"C21H15N3O3"
"C21133[p]"	"Deoxyviolacein"	"C20H13N3O2"
"C21134[p]"	"Protoviolaceinic acid"	"C21H15N3O3"
"C21135[p]"	"Violaceinic acid"	"C21H15N3O4"
"C21136[p]"	"Violacein"	"C20H13N3O3"
"C21137[p]"	"dTDP-3-amino-4-oxo-2,3,6-trideoxy-L-allose"	"C16H25N3O13P2"
"C21138[p]"	"trans-2-Octenal"	"C8H14O"
"C21139[p]"	"(S)-3-Acetyloctanal"	"C10H18O2"
"C21140[p]"	"Aurachin B"	"C25H33NO2"
"C21141[p]"	"4-Hydroxy-2-methyl-3-oxo-4-[(2E,6E)-farnesyl]-3,4-dihydroquinoline 1-oxide"	"C25H33NO3"
"C21142[p]"	"3,4-Dihydroxy-2-methy-4-[(2E,6E)-farnesyl]-3,4-dihydroquinoline 1-oxide"	"C25H35NO3"
"C21144[p]"	"1,3,7-Trimethyl-5-hydroxyisourate"	"C8H10N4O4"
"C21145[p]"	"Protoasukamycin"	"C31H34N2O5"
"C21146[p]"	"4-Hydroxyprotoasukamycin"	"C31H34N2O6"
"C21147[p]"	"Asperlicin C"	"C25H18N4O2"
"C21148[p]"	"Asperlicin E"	"C25H18N4O3"
"C21149[p]"	"Dibenzothiophene-5-oxide"	"C12H8OS"
"C21150[p]"	"Dibenzothiophene-5,5-dioxide"	"C12H8O2S"
"C21151[p]"	"Peptide diphthine methyl ester"	"C15H24N5O4R2"
"C21152[p]"	"N,N'-Diacetylchitobiose 6'-phosphate"	"C16H29N2O14P"
"C21153[p]"	"Adenosylcobalamin 5'-phosphate"	"C72H101CoN18O20P2"
"C21154[p]"	"N-Methylmyosmine"	"C10H12N2"
"C21155[p]"	"Isatinate"	"C8H7NO3"
"C21156[p]"	"Acarbose 7IV-phosphate"	"C25H44NO21P"
"C21157[p]"	"KDO2-lipid A 1-diphosphate"	"C110H203N2O42P3"
"C21158[p]"	"Nucleoside 3',5'-bisphosphate"	"C5H11O10P2R"
"C21159[p]"	"2,4-Dinitroanisole"	"C7H6N2O5"
"C21160[p]"	"L-Alanyl-gamma-D-glutamyl-L-lysine"	"C14H26N4O6"
"C21161[p]"	"Mitomycin A"	"C16H19N3O6"
"C21162[p]"	"Mitomycin B"	"C15H17N3O6"
"C21163[p]"	"7-Demethylmitomycin A"	"C15H17N3O6"
"C21164[p]"	"7-Demethylmitomycin B"	"C14H15N3O6"
"C21165[p]"	"9-Methyl-(4E,8E)-sphinga-4,8-dienine ceramide"	"C20H36NO3R"
"C21166[p]"	"4-Hydroxy-3-methylbenzaldehyde"	"C8H8O2"
"C21167[p]"	"4-Hydroxy-3-methylbenzoate"	"C8H8O3"
"C21168[p]"	"4-Hydroxyisophthalate"	"C8H6O5"
"C21169[p]"	"N1,N8-Bis(4-coumaroyl)spermidine"	"C25H31N3O4"
"C21170[p]"	"N1,N8-Bis(sinapoyl)spermidine"	"C29H39N3O8"
"C21171[p]"	"[Wnt]-O-(9Z)-hexadec-9-enoyl-L-serine"	"C20H34N2O4R2"
"C21172[p]"	"[Wnt]-L-serine"	"C4H6N2O3R2"
"C21173[p]"	"PEtN-KDO2-lipid A"	"C112H208N3O42P3"
"C21174[p]"	"PEtN-KDO2-lipid IV(A)"	"C86H160N3O40P3"
"C21175[p]"	"Dihydrocaffeoyl-CoA"	"C30H44N7O19P3S"
"C21176[p]"	"3''-Oxoribostamycin"	"C17H32N4O10"
"C21177[p]"	"Prokaryotic ubiquitin-like protein"	"C5H8NO4R"
"C21178[p]"	"Pupylated protein"	"C12H19N4O5R3"
"C21179[p]"	"[Prokaryotic ubiquitin-like protein]-L-glutamine"	"C5H9N2O3R"
"C21180[p]"	"2-Dehydro-3,6-dideoxy-6-sulfo-D-gluconate"	"C6H10O8S"
"C21181[p]"	"(2S)-3-Sulfolactaldehyde"	"C3H6O5S"
"C21182[p]"	"6-Deoxy-6-sulfo-D-gluconate"	"C6H12O9S"
"C21183[p]"	"Bursehernin"	"C21H22O6"
"C21184[p]"	"(-)-5'-Demethylyatein"	"C21H22O7"
"C21185[p]"	"4'-Demethylepipodophyllotoxin"	"C21H20O8"
"C21186[p]"	"6-Tuliposide B"	"C11H18O9"
"C21187[p]"	"Tulipalin B"	"C5H6O3"
"C21188[p]"	"Protein N(omega),N(omega)-dimethyl-L-arginine"	"C9H17N5O2R2"
"C21189[p]"	"Protein N(omega),N(omega)'-dimethyl-L-arginine"	"C9H17N5O2R2"
"C21190[p]"	"Protein N5-methyl-L-arginine"	"C8H15N5O2R2"
"C21191[p]"	"Pluviatolide"	"C20H20O6"
"C21192[p]"	"Epoxypheophorbide a"	"C35H36N4O6"
"C21193[p]"	"Hexa-acyl lipid A in lipopolysaccharide"	"C94H177N2O25P2R"
"C21194[p]"	"Hepta-acyl lipid A in lipopolysaccharide"	"C110H207N2O26P2R"
"C21203[p]"	"Geranyl phosphate"	"C10H19O4P"
"C21204[p]"	"5-epi-Valiolol 7-phosphate"	"C7H15O9P"
"C21205[p]"	"1-epi-Valienol 7-phosphate"	"C7H13O8P"
"C21206[p]"	"1,7-Diphospho-1-epi-valienol"	"C7H14O11P2"
"C21207[p]"	"NDP-1-epi-valienol 7-phosphate"	"C12H22O17P3R"
"C21208[p]"	"dTDP-acarviose-7-phosphate"	"C23H38N3O21P3"
"C21209[p]"	"1-epi-Valienol 1-phosphate"	"C7H13O8P"
"C21210[p]"	"NDP-1-epi-valienol"	"C12H21O14P2R"
"C21211[p]"	"Salbostatin 6'-phosphate"	"C13H24NO11P"
"C21212[p]"	"Archaeal dolichyl phosphate"	"C20H39O4P(C5H8)n"
"C21213[p]"	"Archaeal dolichyl 3-O-(2,3-diacetamido-2,3-dideoxy-beta-D-glucuronsyl)-N-acetyl-alpha-D-glucosaminyl phosphate"	"C38H66N3O15P(C5H8)n"
"C21214[p]"	"Dimethylallyl phosphate"	"C5H11O4P"
"C21215[p]"	"Prenylated FMNH2"	"C22H31N4O9P"
"C21216[p]"	"Validamine 7-phosphate"	"C7H16NO7P"
"C21217[p]"	"Geranylgeranyl bacteriochlorophyllide a"	"C55H68MgN4O6"
"C21218[p]"	"Validone 7-phosphate"	"C7H13O8P"
"C21219[p]"	"Validoxylamine A 7'-phosphate"	"C14H26NO11P"
"C21240[p]"	"Gentamicin C 2''-phosphate"	"C19H38N5O10P(R1)(R2)"
"C21247[p]"	"2-Amino-5-epi-valiolone"	"C7H13NO5"
"C21248[p]"	"2-Aminovalienone"	"C7H11NO4"
"C21249[p]"	"Cetoniacytone B"	"C7H9NO4"
"C21250[p]"	"2-Methyl-trans-aconitate"	"C7H8O6"
"C21251[p]"	"6'-Oxokanamycin X"	"C18H33N3O12"
"C21252[p]"	"6'-Oxokanamycin C"	"C18H34N4O11"
"C21253[p]"	"Kanamycin D"	"C18H35N3O12"
"C21254[p]"	"3''-Deamino-3''-hydroxykanamycin B"	"C18H36N4O11"
"C21255[p]"	"Lividamine"	"C12H25N3O6"
"C21256[p]"	"6'-Oxolividamine"	"C12H23N3O6"
"C21257[p]"	"4'-Oxolividamine"	"C12H23N3O6"
"C21258[p]"	"4'-Oxonebramine"	"C12H24N4O5"
"C21259[p]"	"Nebramine"	"C12H26N4O5"
"C21260[p]"	"5''-Phosphoribosylparomamine"	"C17H34N3O14P"
"C21261[p]"	"2'''-N-Acetyl-6'''-deamino-6'''-hydroxyparomomycin II"	"C25H46N4O16"
"C21262[p]"	"6'''-Deamino-6'''-hydroxyparomomycin II"	"C23H44N4O15"
"C21263[p]"	"6'''-Deamino-6'''-oxoparomomycin II"	"C23H42N4O15"
"C21264[p]"	"5'''-epi-Lividomycin B"	"C23H45N5O13"
"C21265[p]"	"3''-Oxogentamicin A2"	"C17H31N3O11"
"C21266[p]"	"3''-Amino-3''-deoxygentamicin A2"	"C17H34N4O10"
"C21267[p]"	"6'-Oxogentamicin X2"	"C19H36N4O10"
"C21268[p]"	"6'-Oxo-G418"	"C20H38N4O10"
"C21269[p]"	"Antibiotic JI-20Ba"	"C20H41N5O9"
"C21270[p]"	"Gentamicin C2a"	"C20H41N5O7"
"C21272[p]"	"3-(4-Aminophenyl)pyruvate"	"C9H9NO3"
"C21281[p]"	"Demethyl-4-deoxygadusol"	"C7H10O5"
"C21282[p]"	"2-epi-Valiolone"	"C7H12O6"
"C21283[p]"	"3-Indoleacrylate"	"C11H9NO2"
"C21284[p]"	"Fe-coproporphyrin III"	"C36H36FeN4O8"
"C21285[p]"	"D-Erythrulose 1-phosphate"	"C4H9O7P"
"C21287[p]"	"2-Hydroxyisobutanoyl-CoA"	"C25H42N7O18P3S"
"C21288[p]"	"(2S,3R)-2-Hydroxy-3-(indol-3-yl)butanoate"	"C12H13NO3"
"C21289[p]"	"(R)-3-(Indol-3-yl)-2-oxobutyrate"	"C12H11NO3"
"C21290[p]"	"2-Methylpropane-1,2-diol"	"C4H10O2"
"C21291[p]"	"2-Hydroxy-2-methylpropanal"	"C4H8O2"
"C21293[p]"	"Validamycin B"	"C20H35NO14"
"C21294[p]"	"D-Erythritol 1-phosphate"	"C4H11O7P"
"C21295[p]"	"5-Methylphenazine-1-carboxylate"	"C14H11N2O2"
"C21296[p]"	"1alpha-Hydroxytestosterone"	"C19H28O3"
"C21297[p]"	"2-Hydroxy-2-methylpropanoate"	"C4H8O3"
"C21298[p]"	"2,6-Dihydroxybenzoate"	"C7H6O4"
"C21299[p]"	"RCH2NHR'"	"CH3N(R1)(R2)"
"C21300[p]"	"R'NH2"	"NH2R"
"C21303[p]"	"(25R)-26-Hydroxycholest-4-en-3-one"	"C27H44O2"
"C21304[p]"	"(25S)-26-Oxocholest-4-en-3-one"	"C27H42O2"
"C21305[p]"	"(25R)-26-Oxocholest-4-en-3-one"	"C27H42O2"
"C21306[p]"	"3,4-Dihydro-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylate"	"C10H7NO4"
"C21307[p]"	"3,4-Dihydro-7-hydroxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylate"	"C10H7NO5"
"C21308[p]"	"(S)-beta-Tyrosine"	"C9H11NO3"
"C21309[p]"	"(S)-beta-Tyrosyl-[pcp]"	"C9H10NO2SR"
"C21310[p]"	"(8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate"	"C10H16N5O14P3"
"C21311[p]"	"3-(4-Hydroxyphenyl)-3-oxopropanoyl-[pcp]"	"C9H7O3SR"
"C21312[p]"	"6-Methylsalicylyl-CoA"	"C29H42N7O18P3S"
"C21313[p]"	"3,6-Dimethylsalicylyl-CoA"	"C30H44N7O18P3S"
"C21314[p]"	"NDP-D-mannose"	"C11H21O15P2R"
"C21315[p]"	"NDP-4-oxo-6-deoxy-D-mannose"	"C11H19O14P2R"
"C21316[p]"	"NDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose"	"C11H17O13P2R"
"C21317[p]"	"NDP-2-amino-4-oxo-2,6-dideoxy-D-galactose"	"C11H20NO13P2R"
"C21318[p]"	"NDP-2-amino-2,6-dideoxy-D-galactose"	"C11H22NO13P2R"
"C21319[p]"	"NDP-2-methylamino-2,6-dideoxy-D-galactose"	"C12H24NO13P2R"
"C21320[p]"	"3,6,8-Trihydroxy-2-naphthoate"	"C11H8O5"
"C21321[p]"	"3,6,7,8-Tetrahydroxy-2-naphthoate"	"C11H8O6"
"C21322[p]"	"3-Hydroxy-6,7,8-trimethoxy-2-naphthoate"	"C14H14O6"
"C21323[p]"	"3-Hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoate"	"C16H18O6"
"C21324[p]"	"3-Hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA"	"C37H52N7O21P3S"
"C21325[p]"	"Azatyrosine"	"C8H10N2O3"
"C21326[p]"	"(R)-2-Aza-beta-tyrosine"	"C8H10N2O3"
"C21327[p]"	"(R)-2-Aza-beta-tyrosyl-[pcp]"	"C8H9N2O2SR"
"C21328[p]"	"(R)-2-Aza-3-chloro-beta-tyrosyl-[pcp]"	"C8H8ClN2O2SR"
"C21329[p]"	"Benzoyl cyanide"	"C8H5NO"
"C21330[p]"	"Aurachin C"	"C25H33NO2"
"C21331[p]"	"Aurachin C epoxide"	"C25H33NO3"
"C21332[p]"	"8-Dehydro-3-deoxy-D-manno-octulosonate"	"C8H12O8"
"C21333[p]"	"8-Amino-3,8-dideoxy-D-manno-octulosonate"	"C8H15NO7"
"C21334[p]"	"CMP-8-amino-3,8-dideoxy-beta-D-manno-octulosonate"	"C17H27N4O14P"
"C21335[p]"	"1,2-beta-Oligomannan"	"H2O(C6H10O5)n"
"C21336[p]"	"beta-1,2-Mannobiose"	"C12H22O11"
"C21337[p]"	"Calicheamicinone"	"C18H17NO5S3"
"C21338[p]"	"Calicheamicin T0"	"C24H28N2O9S3"
"C21339[p]"	"4-Deoxy-4-thio-alpha-D-digitoxosyl-calicheamicin T0"	"C30H38N2O11S4"
"C21340[p]"	"Calicheamicin PsAg"	"C40H47IN2O15S4"
"C21341[p]"	"Calicheamicin alpha1(I)"	"C48H62IN3O17S4"
"C21342[p]"	"Calicheamicin alpha3(I)"	"C47H59IN2O19S4"
"C21343[p]"	"Orsellinate-[acp]"	"C8H7O3SR"
"C21344[p]"	"2-Methoxyorsellinate-[acp]"	"C9H9O3SR"
"C21345[p]"	"5-Iodo-2-methoxyorsellinate-[acp]"	"C9H8IO3SR"
"C21346[p]"	"3-Hydroxy-5-iodo-2-methoxyorsellinate-[acp]"	"C9H8IO4SR"
"C21347[p]"	"5-Iodo-2,3-dimethoxyorsellinate-[acp]"	"C10H10IO4SR"
"C21348[p]"	"dTDP-4-hydroxyamino-4,6-dideoxy-alpha-D-glucose"	"C16H27N3O15P2"
"C21349[p]"	"dTDP-4-deoxy-4-thio-alpha-D-digitoxose"	"C16H26N2O13P2S"
"C21350[p]"	"dTDP-3-O-methyl-beta-L-rhamnose"	"C17H28N2O15P2"
"C21351[p]"	"dTDP-4-oxo-alpha-D-xylose"	"C15H22N2O15P2"
"C21352[p]"	"dTDP-4-oxo-2-deoxy-alpha-D-pentos-2-ene"	"C15H20N2O14P2"
"C21353[p]"	"dTDP-4-oxo-2-deoxy-beta-L-xylose"	"C15H22N2O14P2"
"C21354[p]"	"dTDP-4-amino-2,4-dideoxy-beta-L-xylose"	"C15H25N3O13P2"
"C21355[p]"	"dTDP-4-methylamino-2,4-dideoxy-beta-L-xylose"	"C16H27N3O13P2"
"C21356[p]"	"dTDP-4-ethylamino-3-O-methyl-2,4-dideoxy-L-threo-pentopyranose"	"C18H31N3O13P2"
"C21357[p]"	"3-Hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-[acp]"	"C16H19O2SR"
"C21358[p]"	"1,3,5,7,9,11,13-Pentadecaheptaene"	"C15H18"
"C21362[p]"	"dTDP-3-methyl-4-oxo-alpha-D-ribopyranose"	"C16H24N2O15P2"
"C21363[p]"	"dTDP-madurosamine"	"C16H27N3O14P2"
"C21366[p]"	"3-O-[N-Acetyl-beta-D-galactosaminyl-(1->3)-N-acetyl-beta-D-glucosaminyl-(1->4)-alpha-D-(6-phospho)mannosyl]-L-threonyl-[protein]"	"C27H45N4O21PR2"
"C21367[p]"	"Valienol 1-phosphate"	"C7H13O8P"
"C21368[p]"	"GDP-valienol"	"C17H25N5O15P2"
"C21369[p]"	"N-(2-Methylpropanyl)hydroxylamine"	"C4H11NO"
"C21370[p]"	"(S)-Nandinine"	"C19H19NO4"
"C21371[p]"	"Validone"	"C7H12O5"
"C21372[p]"	"3-Phosphinomethylmalate"	"C5H9O7P"
"C21373[p]"	"(3R)-3,4-Epoxy-3-methylbut-1-ene"	"C5H8O"
"C21374[p]"	"2-(Glutathion-S-yl)-2-methylbut-3-en-1-ol"	"C15H25N3O7S"
"C21375[p]"	"3-Hydroxy-4-methylanthranilyl-[aryl-carrier protein]"	"C8H8NO2SR"
"C21376[p]"	"3,5-Dihydroxy-4-methylanthranilyl-[aryl-carrier protein]"	"C8H8NO3SR"
"C21377[p]"	"[F-actin]-L-methionine"	"C6H10N2O2SR2"
"C21378[p]"	"[F-actin]-L-methionine-(R)-S-oxide"	"C6H10N2O3SR2"
"C21379[p]"	"(2S,3R)-Flavan-3-ol"	"C15H14O2"
"C21380[p]"	"(2S,3S)-Flavan-3-ol"	"C15H14O2"
"C21381[p]"	"Anthocyanidin with a 3-hydroxy group"	"C15H11O2"
"C21383[p]"	"3-Deoxy-D-glycero-D-galacto-non-2-ulopyranosonate 9-phosphate"	"C9H17O12P"
"C21384[p]"	"CMP-3-deoxy-D-glycero-D-galacto-non-2-ulopyranosonate"	"C18H28N3O16P"
"C21385[p]"	"trans-12-Hydroxyjasmonic acid"	"C12H18O4"
"C21386[p]"	"L-Leucyl-L-arginyl-protein"	"C14H27N6O4R(C2H2NOR)n"
"C21387[p]"	"L-Leucyl-L-lysyl-protein"	"C14H27N4O4R(C2H2NOR)n"
"C21388[p]"	"L-Lysyl-protein"	"C8H16N3O3R(C2H2NOR)n"
"C21389[p]"	"tert-Butyl alcohol"	"C4H10O"
"C21390[p]"	"Butane"	"C4H10"
"C21391[p]"	"11a-Hydroxytetracycline"	"C22H24N2O9"
"C21392[p]"	"Multi-methyl-branched acyl-[acp]"	"COSR2(C3H6)n"
"C21393[p]"	"C32-Mycocerosyl-[acp]"	"C32H63OSR"
"C21394[p]"	"C27-Mycolipanoyl-[acp]"	"C27H53OSR"
"C21395[p]"	"dTDP-4-(methylamino)-2,3,4,6-tetradeoxy-D-glucose"	"C17H29N3O12P2"
"C21396[p]"	"Ethylenediaminetriacetic acid"	"C8H14N2O6"
"C21397[p]"	"Ethylenediamine-N,N'-diacetic acid"	"C6H12N2O4"
"C21398[p]"	"Methanesulfinic acid"	"CH4O2S"
"C21399[p]"	"Isocaproate"	"C6H12O2"
"C21400[p]"	"Isocaproyl-CoA"	"C27H46N7O17P3S"
"C21401[p]"	"tert-Amyl alcohol"	"C5H12O"
"C21402[p]"	"Isoprenyl alcohol"	"C5H10O"
"C21403[p]"	"2-Acetamidoethylphosphonate"	"C4H10NO4P"
"C21404[p]"	"N-Ethylacetamide"	"C4H9NO"
"C21405[p]"	"(4aS,10bR)-Noroxomaritidine"	"C16H17NO3"
"C21406[p]"	"(4aR,10bS)-Noroxomaritidine"	"C16H17NO3"
"C21407[p]"	"7-(Hydroxymethyl)bacteriochlorophyllide c"	"C31H28MgN4O5(R1)(R2)"
"C21408[p]"	"(1R,6R)-1,4,5,5a,6,9-Hexahydrophenazine-1,6-dicarboxylate"	"C14H14N2O4"
"C21409[p]"	"(1R,10aS)-1,4,10,10a-Tetrahydrophenazine-1,6-dicarboxylate"	"C14H12N2O4"
"C21410[p]"	"(5aS)-5,5a-Dihydrophenazine-1,6-dicarboxylate"	"C14H10N2O4"
"C21411[p]"	"(1R,10aS)-1,4,10,10a-Tetrahydrophenazine-1-carboxylate"	"C13H12N2O2"
"C21412[p]"	"(10aS)-10,10a-Dihydrophenazine-1-carboxylate"	"C13H10N2O2"
"C21413[p]"	"(1R)-1,4,5,10-Tetrahydrophenazine-1-carboxylate"	"C13H12N2O2"
"C21414[p]"	"Naphthalene-1,2,4,8-tetrol"	"C10H8O4"
"C21415[p]"	"Valienol 7-phosphate"	"C7H13O8P"
"C21416[p]"	"2-Amino-1,5-anhydro-2-deoxyglucitol"	"C6H14NO7P"
"C21417[p]"	"(2R,3R)-Dihydroflavonol"	"C15H12O3"
"C21418[p]"	"(2R,3S,4S)-Leucoanthocyanidin"	"C15H14O3"
"C21419[p]"	"1-(3,4-Dimethoxyphenyl)-2-(2-methoxyphenoxy)propane-1,3-diol"	"C18H22O6"
"C21420[p]"	"(3,4-Dimethoxyphenyl)methanol"	"C9H12O3"
"C21421[p]"	"(3,4-Dimethoxyphenyl)methanol radical"	"C9H11O3"
"C21422[p]"	"1-(4-Hydroxy-3-methoxyphenyl)-2-(2-methoxyphenoxy)propane-1,3-diol"	"C17H20O6"
"C21423[p]"	"1,2-Dihydro-beta-NAD"	"C21H29N7O14P2"
"C21424[p]"	"1,6-Dihydro-beta-NAD"	"C21H29N7O14P2"
"C21425[p]"	"Abieta-8,11,13-triene"	"C20H30"
"C21426[p]"	"3-Vinyl bacteriochlorophyllide d"	"C30H24MgN4O3(R1)(R2)"
"C21427[p]"	"8,12-Diethyl-3-vinylbacteriochlorophyllide d"	"C34H34MgN4O3"
"C21428[p]"	"12-Ethyl-8-propyl-3-vinylbacteriochlorophyllide d"	"C35H36MgN4O3"
"C21429[p]"	"12-Ethyl-8-isobutyl-3-vinylbacteriochlorophyllide d"	"C36H38MgN4O3"
"C21430[p]"	"Malonamoyl-[acyl-carrier protein]"	"C3H4NO2SR"
"C21431[p]"	"8-Ethyl-12-methylbacteriochlorophyllide d"	"C33H34MgN4O4"
"C21432[p]"	"8,12-Diethylbacteriochlorophyllide d"	"C34H36MgN4O4"
"C21433[p]"	"12-Ethyl-8-propylbacteriochlorophyllide d"	"C35H38MgN4O4"
"C21434[p]"	"12-Ethyl-8-isobutylbacteriochlorophyllide d"	"C36H40MgN4O4"
"C21435[p]"	"Geranylgeranyl bacteriochlorophyllide b"	"C55H66MgN4O6"
"C21436[p]"	"4-Methylamino-4-de(dimethylamino)anhydrotetracycline"	"C21H20N2O7"
"C21437[p]"	"[Sulfur-carrier protein]-Gly-Gly-L-Cys"	"C7H12N3O4SR"
"C21438[p]"	"11a-Hydroxyoxytetracycline"	"C22H24N2O10"
"C21439[p]"	"11a-Hydroxy-7-chlortetracycline"	"C22H23ClN2O9"
"C21440[p]"	"[Protein]-S-sulfanyl-L-cysteine"	"C4H6N2O2S2R2"
"C21441[p]"	"Bacteriochlorophyllide g"	"C35H34MgN4O5"
"C21442[p]"	"Phenazine-1-carboxylate"	"C13H8N2O2"
"C21443[p]"	"N-Demethylindolmycin"	"C13H13N3O2"
"C21444[p]"	"Indolmycin"	"C14H15N3O2"
"C21445[p]"	"17-(4-Hydroxyphenyl)heptadecanoyl adenylate"	"C33H50N5O9P"
"C21446[p]"	"17-(4-Hydroxyphenyl)heptadecanoate"	"C23H38O3"
"C21447[p]"	"19-(4-Hydroxyphenyl)nonadecanoyl adenylate"	"C35H54N5O9P"
"C21448[p]"	"19-(4-Hydroxyphenyl)nonadecanoate"	"C25H42O3"
"C21449[p]"	"Lithocholoyl-CoA"	"C45H74N7O18P3S"
"C21450[p]"	"4-(2-Hydroxyethoxycarbonyl)benzoate"	"C10H10O5"
"C21451[p]"	"Poly(ethylene terephthalate)"	"(C10H8O4)n"
