,Abbreviation,Description,Reaction
26424,6MHACPA,6-methyl-heptanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ,6mhACP_c + h_c + malACP_c <==> 8m3oxACP_c + ACP_c + co2_c
26425,6MOAMCA,6-methyl-octanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ,6moACP_c + h_c + malACP_c <==> 8m3odACP_c + ACP_c + co2_c
26426,6MTHAO,6-methyl-trans-hept-2-enoyl-ACP NAD oxidoreductase A-specific ,6mth2eACP_c + h_c + nadph_c <==> 6mhACP_c + nadp_c
26427,6PHBG2,Salicin 6-phosphate glucohydrolase ,h2o_c + salcn6p_c <==> 2hymeph_c + g6p_B_c
26428,7M3HOACPL,7-methyl-3-hydroxy-octanoyl-ACP hydro-lyase ,7m3hoACP_c <==> 7mto2eACP_c + h2o_c
26429,7MOACA,7-methyl-octanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ,7moACP_c + h_c + malACP_c <==> 9m3odACP_c + ACP_c + co2_c
26430,8M3ONO,8-methyl-3-oxo-nonanoyl-ACP NADP oxidoreductase ,8m3oxACP_c + h_c + nadph_c <==> 8m3hnACP_c + nadp_c
26431,8MDAM,8-methyl-decanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ,8mdACP_c + h_c + malACP_c <==> 3oddecACP_c + ACP_c + co2_c
26432,8METNO,8-methyl-trans-non-2-enoyl-ACP NAD oxidoreductase A-specific ,8mtn2eACP_c + h_c + nadph_c <==> 8mcACP_c + nadp_c
26433,8MNAMC,8-methyl-nonanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ,8mcACP_c + h_c + malACP_c <==> 10m3ouACP_c + ACP_c + co2_c
26434,8MT2ACP,8-methyl-trans-dec-2-enoyl-ACP NAD oxidoreductase A-specific ,8mtd2eACP_c + h_c + nadph_c <==> 8mdACP_c + nadp_c
26435,9MDACP,9-methyl-trans-dec-2-enoyl-ACP NAD oxidoreductase A-specific ,9mtd2eACP_c + h_c + nadph_c <==> 9mdACP_c + nadp_c
26436,9MDAM,9-methyl-decanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ,9mdACP_c + h_c + malACP_c <==> 11m3odACP_c + ACP_c + co2_c
26437,AACLAM,Acetyl adenylate CoA ligase AMP-forming ,acadl_c + coa_c <==> accoa_c + amp_c
26438,ACGAptsw,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS (cell wall),acgam_w + pep_c <==> acgam6p_c + pyr_c
26439,ACGK_1,Acetylglutamate kinase,acglu_c + atp_c + h_c <==> acg5p_c + adp_c
26440,ACLS_d,2-alpha-Hydroxyethylthiamine diphosphate lipoamide ,hethmpp_c + lpam_c <==> adhlam_c + thmpp_c
26441,ACS_1,Acetyl-CoA synthetase,ac_c + atp_c + coa_c + h_c <==> accoa_c + amp_c + ppi_c
26442,ACSERHS,O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide),acser_c + trdrd_c + tsul_c <==> ac_c + cys__L_c + so3_c + trdox_c
26443,AIRC4,NCAIR synthetase and NCAIR mutase ,air_c + atp_c + hco3_c <==> 5aizc_c + adp_c + h_c + pi_c
26444,ALAGLYtr,Dipeptide transport via ABC system ala-gly ,alagly_e + atp_c + h2o_c <==> adp_c + alagly_c + h_c + pi_c
26445,ALAHIStr,Dipeptide transport via ABC system ala-his ,ala_his_e + atp_c + h2o_c <==> adp_c + ala_his_c + h_c + pi_c
26446,ALKP_1,Alkaline phosphatase,dhap_c + h2o_c <==> dha_c + h_c + pi_c
26447,AMPAH,Aminopyrimidine aminohydrolase,h2o_c + thm_c <==> 4ahmmp_c + 4mhetz_c
26448,AMPEP10,Aminopeptidase ,gly_asp__L_c + h2o_c <==> asp__L_c + gly_c
26449,AMPEP12,Aminopeptidase ,ala_gln_c + h2o_c <==> ala__L_c + gln__L_c
26450,AMPEP2,Aminopeptidase ,ala_L_thr__L_c + h2o_c <==> ala__L_c + thr__L_c
26451,AMPEP3,Aminopeptidase ,gly_gln_c + h2o_c <==> gln__L_c + gly_c
26452,AMPEP4,Aminopeptidase ,alagly_c + h2o_c <==> ala__L_c + gly_c
26453,AMPEP6,Aminopeptidase ,ala_leu_c + h2o_c <==> ala__L_c + leu__L_c
26454,ANHMKw,"1,6-anhydro-N-acetyl-beta-muramate 6-phosphotransferase",anhm_w + atp_c + h2o_c <==> acmum6p_c + adp_c + h_c
26455,ARGSS2,"Argininosuccinate synthase, reversible",asp__L_c + atp_c + citr__L_c <==> amp_c + argsuc_c + ppi_c
26456,ARSabc,Arsenobetaine transport in via ABC system ,arsbet_e + atp_c + h2o_c <==> adp_c + arsbet_c + h_c + pi_c
26457,ARStr,Arsenobetaine transport in via proton symport ,arsbet_e + h_e <==> arsbet_c + h_c
26458,ASAD_1,Aspartate-semialdehyde dehydrogenase,4pasp_c + nadph_c <==> aspsa_c + nadp_c + pi_c
26459,ASO3tex_1,Arsenite transport via diffusion (extracellular to cytoplasm),aso3_c <==> aso3_e
26460,ASO4t,Arsenate transporter ,aso4_c <==> aso4_e
26461,ASPTRS2,Aspartyl-tRNA synthetase (AspRS),asp__L_c + atp_c + trnaasn_c <==> amp_c + asptrnaasn_c + ppi_c
26462,ATPS4r_1,ATP synthase (four protons for one ATP),adp_c + 2.4 h_e + pi_c <==> atp_c + h2o_c + 1.4 h_c
26463,AT_MBD2,2-methylpropanoyl-CoA enzyme N6-dihydrolipoyllysine ,dhlam_c + ibcoa_c <==> 2mpdhl_c + coa_c
26464,BGLK_1,Beta-glucoside kinase,cellb_c + h2o_c <==> g6p_c + glc__D_c
26465,BPNT_1,"3',5'-bisphosphate nucleotidase",h2o_c + pap_c <==> amp_c + h_c + pi_c
26466,BS,Bacillithiol synthase,cys__L_c + gamm_c <==> bsh_c + h2o_c
26467,BTCCPL,Biotin-carboxyl-carrier-protein carbon-dioxide ligase ADP-forming ,atp_c + hcarb_c + hco3_c <==> adp_c + carP_c + h_c + pi_c
26468,BTNt,Biotin ABC transporter ,atp_c + btn_e + h2o_c <==> adp_c + btn_c + h_c + pi_c
26469,BIOMASS_CELLWALL,,0.00874624310832839 WTA40rPG_w + 0.00831380373939899 WTA40raPG_w + 0.00762327685818712 WTA40rgPG_w <==> 1gCELLWALL2_c
26470,BIOMASS_DNA_1,,0.0321206892402595 datp_c + 0.0170583463748374 dctp_c + 0.0149639357905951 dgtp_c + 0.0334615949297594 dttp_c <==> 1gDNA2_c
26471,BIOMASS_LIPIDS_wild_type,,0.00262322198280426 3g12dgr_MRSA_c + 0.00114134054982119 LTA_MRSA_w + 0.00286984353246381 clpn_MRSA_c + 0.0109370901007626 dag_MRSA_c + 0.00493631043718319 mqn7_c + 0.0212090493892501 pg_MRSA_c + 0.00236326444528039 pglys_MRSA_c <==> 1gLIPIDS2_c
26472,BIOMASS_OtherSOLUTES_wild_type,,0.000223 10fthf_c + 2.5e-05 2fe2s_c + 0.000248 4fe4s_c + 0.000223 5mthf_c + 2e-06 btn_c + 0.000223 chor_c + 0.004952 cl_c + 0.006388 fe2_c + 0.007428 fe3_c + 0.000223 hemeO_c + 0.18569 k_c + 3e-06 lipopb_c + 0.008253 mg2_c + 0.000658 mn2_c + 7e-06 mobd_c + 1.9895 na1_c + 0.012379 nh4_c + 0.000223 pheme_c + 0.03327 ptrc_c + 0.000223 ribflv_c + 0.004126 so4_c + 0.000223 thm_c + 0.000223 thmpp_c + 0.000324 zn2_c <==> 1gOtherSolutes2_c
26473,BIOMASS_RNA_1,,0.128418570691352 atp_c + 0.0644673483799773 ctp_c + 0.0708887070185011 gtp_c + 0.110907530403884 utp_c <==> 1gRNA2_c
26474,CBMKr2,Carbamate kinase,atp_c + co2_c + nh4_c <==> adp_c + cbp_c + h_c
26475,CDPMEK_1,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,4c2me_c + atp_c <==> 2p4c2me_c + adp_c
26476,CHCOAL_1,6-carboxyhexanoate-CoA ligase,coa_c + h2o_c + pmlmeACP_c <==> ACP_c + h_c + meoh_c + pmcoa_c
26477,CHORS_1,Chorismate synthase,3psme_c <==> chor_c + h_c + pi_c
26478,CITDAPPD,"Citryl-L2,3-diamino-propionic acid decarboxylase",citdapp_c <==> citdae_c + co2_c
26479,CITDAPPS,"Citryl-L2,3-diamino-propionic acid Synthase",23dappa_c + atp_c + cit_c + h_c <==> adp_c + citdapp_c + pi_c
26480,COADSR,Coenzyme A disulfide reductase,2.0 coa_c <==> coa2s_c
26481,CYSTINEs,Cystine cation symporter,cystine__L_e + h_e <==> cystine__L_c + h_c
26482,DACTPP,DATP cytidine 5'-phosphotransferase ,cytd_c + datp_c <==> cmp_c + dadp_c
26483,DADNK_1,Deoxyadenosine kinase,atp_c + dad_2_c <==> adp_c + damp_c
26484,DAGK,Diacylglycerol kinase,atp_c + dag_MRSA_c <==> adp_c + h_c + ptdoh_MRSA_c
26485,DAPADHL,DAPAS,h2o_c + nacg_c + nad_c <==> 23dappa_c + akg_c + h_c + nadh_c
26486,DCPP,DCTP cytidine 5'-phosphotransferase ,cytd_c + dctp_c <==> cmp_c + dcdp_c
26487,DDPA_1,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,e4p_c + h2o_c + pep_c <==> 2dda7p_c + h_c + pi_c
26488,DGUPP,DGTP uridine 5'-phosphotransferase ,dgtp_c + uri_c <==> dgdp_c + ump_c
26489,DHQS_2,3-dehydroquinate synthase,2dda7p_c <==> 3dhq_c + h_c + pi_c
26490,DHSQDS,Dehydrosqualene desaturase,dppt_c + fad_c + h_c <==> 44dpptf_c + fadh2_c
26491,DHSQDS3,Dehydrosqualene desaturase 2,44dpc_c + fad_c + h_c <==> 44dpnp_c + fadh2_c
26492,DPCOAK_1,Dephospho-CoA kinase,atp_c + dpcoa_c <==> adp_c + coa_c
26493,DPNSPGT,"4,4'-diaponeurosporenoate glycosyltransferase",44dpnspo_c + glc__D_c + h_c <==> g44dpnspo_c + h2o_c
26494,DR1ORy,D-Ribitol-5-phosphate NADP 2-oxidoreductase ,h_c + nadph_c + ru5p__D_c <==> dr5p_c + nadp_c
26495,DRBK_1,Deoxyribokinase,atp_c + drib_c <==> 2dr5p_c + adp_c
26496,DUCYTP,DUTP cytidine 5'-phosphotransferase ,cytd_c + dutp_c <==> cmp_c + dudp_c
26497,EAR200x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C20-:0),h_c + nadph_c + tvegeACP_c <==> nadp_c + vegACP_c
26498,EX_13mtdACP_e,13-methyl-tetra-decanoyl-ACP exchange,13mtdACP_e <==> 
26499,EX_14mhdACP_e,14-methyl-hexa-decanoyl-ACP exchange,14mhdACP_e <==> 
26500,EX_14mpACP_e,14-methyl-pentadecanoyl-ACP exchange,14mpACP_e <==> 
26501,EX_16mpACP_e,16-methyl-pentadecanoyl-ACP exchange,16mpACP_e <==> 
26502,EX_17mhdACP_e,17-methyl-hexa-decanoyl-ACP exchange,17mhdACP_e <==> 
26503,EX_4ahmmp_e,4-Amino-5-hydroxymethyl-2-methylpyrimidin e exchange,4ahmmp_e <==> 
26504,EX_hemoglobin_e,,hemoglobin_e <==> 
26505,EX_stfrnA_e,,stfrnA_e <==> 
26506,EX_stfrnB_e,,stfrnB_e <==> 
26507,EX_ala_gln_e,Ala-gln exchange,ala_gln_e <==> 
26508,EX_ala_his_e,Ala-His exchange,ala_his_e <==> 
26509,EX_alagly_e,L-alanylglycine exchange,alagly_e <==> 
26510,EX_arsbet_e,ARSENOBETAINE exchange,arsbet_e <==> 
26511,EX_gly_cys_e,Gly-cys exchange,gly_cys_e <==> 
26512,EX_gly_met_e,Gly-met exchange,gly_met_e <==> 
26513,EX_gly_phe_e,Gly-Phe exchange,gly_phe_e <==> 
26514,EX_gly_tyr_e,Gly-tyr exchange,gly_tyr_e <==> 
26515,EX_hedACP_e,Hexadecanoyl-acp exchange,hedACP_e <==> 
26516,EX_myrsACP_e,Myristoyl-ACP (n-C14:0ACP) exchange,myrsACP_e <==> 
26517,EX_vegACP_e,Veganoyl-ACP exchange,vegACP_e <==> 
26518,F6Ptex_1,Fructose 6-phosphate transport via diffusion (extracellular to cytoplasm),f6p_e <==> f6p_c
26519,FADH2D,FADH2 dehydrogenase (menaquinone 7 as acceptor),fadh2_c + mqn7_c <==> fad_c + mql7_c
26520,FECRMabc,Ferrichrome ABC transport ,atp_c + fecrm_e + h2o_c <==> adp_c + fecrm_c + h_c + pi_c
26521,FISC,Ferritin iron-storage complex,4.0 fe2_c + 6.0 h2o_c + o2_c <==> 4.0 fe2ohm_c + 8.0 h_c
26522,FMNAT_1,FMN adenylyltransferase,atp_c + fmn_c <==> fad_c + ppi_c
26523,FORMANT,Formamidopyrimidine nucleoside triphosphate 7 8-8 9-dihydrolase ,fapnt_c + h2o_c <==> for_c + h_c + ptp_c
26524,GAPD_1,Glyceraldehyde-3-phosphate dehydrogenase,g3p_c + nad_c + pi_c <==> 13dpg_c + nadh_c
26525,GCCc_1,Glycine-cleavage complex,gcvHdhlip_c + nad_c <==> gcvhlipl_c + h_c + nadh_c
26526,GCVHADPr,GcvH-L complex ADP ribosylation,gcvHL_nhLA_c + nad_c <==> gcvHL_ADPr_c + ncam_c
26527,sink_GCVHF,GcvH-L complex formation,gcvH_c <==> 
26528,GGEP,Glycyl-glycine endopeptidase LytM,pepd_w <==> 5.0 gly_c + pepm_w
26529,GLCBPP,ATP D-glucose 6-phosphotransferase ,atp_c + glc_D_B_c <==> adp_c + g6p_B_c
26530,GLCE,Alpha-D-Glucose 1-epimerase ,glc__D_c <==> glc_D_B_c
26531,GLCNACAMS,N-acetyl-alpha-D-glucosaminyl L-malate synthase,mal__L_c + uacgam_c <==> acgamm_c + h_c + udp_c
26532,GLNTRA,Glu-tRNAGln-dependent amidotransferase,atp_c + gln__L_c + glutrna_c + h2o_c <==> adp_c + glntrna_c + glu__L_c + h_c + pi_c
26533,GLYCK_1,Glycerate kinase,atp_c + glyc__R_c <==> 3pg_c + adp_c
26534,GLYCYSAP,Gly-Cys aminopeptidase ,gly_cys_c + h2o_c <==> cys__L_c + gly_c
26535,GLYGLNtr,Dipeptide transport via ABC system gly-gln ,atp_c + gly_gln_e + h2o_c <==> adp_c + gly_gln_c + h_c + pi_c
26536,GLYK1,Glycerol kinase (reversible),atp_c + glyc_c <==> adp_c + glyc3p_c
26537,GLYLEUtr,Gly-Leu ABC transporters ,atp_c + gly_leu_e + h2o_c <==> adp_c + gly_leu_c + pi_c
26538,GLYMETtr,Dipeptide transport via ABC system gly-met ,atp_c + gly_met_e + h2o_c <==> adp_c + gly_met_c + h_c + pi_c
26539,GLYPHEAP,Gly-Phe aminopeptidase ,gly_phe_c + h2o_c <==> gly_c + phe__L_c
26540,GLYTYRAP,Gly-Try aminopeptidase ,gly_tyr_c + h2o_c <==> gly_c + tyr__L_c
26541,GLYTYRabc,Gly-Try ABC transporters ,atp_c + gly_tyr_e + h2o_c <==> adp_c + gly_tyr_c + pi_c
26542,GPDDA1_1,Glycerophosphodiester phosphodiesterase (Glycerophosphocholine),g3pc_e + h2o_e <==> chol_e + glyc3p_e + h_e
26543,GPDDA2_1,Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine),g3pg_e + h2o_e <==> glyc3p_e + glyc_e + h_e
26544,GPDDA3_1,Glycerophosphodiester phosphodiesterase (Glycerophosphoserine),g3ps_e + h2o_e <==> glyc3p_e + h_e + ser__L_e
26545,GSHN,Glutathione nitrosylation (spontaneous),gthrd_c + no_c <==> gsno_c + h_c
26546,GSNOR,S-nitrosoglutathione nitroreductase,gsno_c + nadp_c <==> nadph_c + rgsno_c
26547,GTPC,"GTP 3',8'-cyclase",amet_c + gtp_c <==> 38ch2gtp_c + dad_5_c + met__L_c
26548,GTPHDR,GTP 7 8-8 9-dihydrolase ,ptp_c <==> dattoo_c
26549,GTPHL,GTP 7 8-8 9-dihydrolase ,gtp_c + h2o_c <==> fapnt_c
26550,GTRNA,,atp_c + gua_c + trnagua_c <==> amp_c + guatrna_c + ppi_c
26551,HEX1_1,Hexokinase (D-glucose:ATP),atp_c + glc__D_c <==> adp_c + g6p_c
26552,HEX7_1,Hexokinase (D-fructose:ATP),atp_c + fru_c <==> adp_c + f6p_c
26553,HGLACPHL,3-Hydroxyglutaryl-ACP methyl ester hydro-lyase,3hgmeACP_c <==> egmeACP_c + h2o_c
26554,HISDAMET,D-histidine Aminobutyril acid transfer,amet_c + his__D_c <==> 5mta_c + xNA_c
26555,HISt2r1,,h_e + his__L_c <==> h_c + his__L_e
26556,HMIA,Heme Mediated Iron Acquisition,hemoglobin_e <==> 4.0 pheme_e
26557,HMPK1_1,Hydroxymethylpyrimidine kinase (ATP),4ahmmp_c + atp_c <==> 4ampm_c + adp_c
26558,HPIMHL,3-Hydroxypimeloyl-ACP methyl ester hydro-lyase,3hpmeACP_c <==> epmeACP_c + h2o_c
26559,HPPK2_1,6-hydroxymethyl-dihydropterin pyrophosphokinase,6hmhpt_c + atp_c <==> 6hmhptpp_c + amp_c
26560,HSK_2,Homoserine kinase,atp_c + hom__L_c <==> adp_c + phom_c
26561,ICITRED,Isocitrate:NADP+ oxidoreductase (decarboxylating),icit_c + nadp_c <==> h_c + nadph_c + osuc_c
26562,ISOGL3P,2-methylpropionyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ,h_c + isobutACP_c + malACP_c <==> 4m3opACP_c + ACP_c + co2_c
26563,ISOP3PT,Butyro-betaine ABC transport ,atp_c + btbet_e + h2o_c <==> adp_c + btbet_c + h_c + pi_c
26564,KGLACPR,3-Ketoglutaryl-ACP methyl ester reduction,h_c + nadph_c + skgmeACP_c <==> 3hgmeACP_c + nadp_c
26565,KPIMR,3-Ketopimeloyl-ACP methyl ester reductase,h_c + nadph_c + skpmeACP_c <==> 3hpmeACP_c + nadp_c
26566,L_LACD3_1,Lactate-quinone oxidoreductase,lac__L_c + mqn7_c <==> mql7_c + pyr_c
26567,LHIST,L-Histidinal NAD oxidoreductase ,h2o_c + htdol__L_c + nad_c <==> 2.0 h_c + his__L_c + nadh_c
26568,LIP2GT3,N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-(glycine)3-D-alanyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine:glycine transferase,2.0 gly_c + lip2g3_c <==> 2.0 h2o_c + pepm_c
26569,LIPATPT_2,Lipoate-ATP adenylate transferase,atp_c + h_c + lipoate_c <==> lipoamp_c + ppi_c
26570,LIPOPBt,Lipoate transport via proton symport,h_e + lipoate_e <==> h_c + lipoate_c
26571,LPL1,Lipoate protein ligase 1,atp_c + lipoate_c <==> lipamp_c + ppi_c
26572,LPL2,Lipoate protein ligase 2,gcvH_LA_c + lipamp_c <==> amp_c + gcvhlipl_c + 2.0 h_c
26573,LTAF,Lipoteichoic acid formation,LTA_ala_w + LTA_w + LTAglcnac_w <==> LTA_MRSA_w
26574,LTAGNACT,Acetyl-glucosamine-LTA glycosyltransferase,LTA_w + uacgam_c <==> LTAglcnac_w + h_c + udp_c
26575,LYSGLUGLYtr,Tripeptide transport,atp_c + h2o_c + lysglugly_e <==> adp_c + h_c + lysglugly_c + pi_c
26576,MALACPD,Malonyl-ACP methyl ester C-acyltransferase decarboxylating,h_c + malACP_c + malmeACP_c <==> ACP_c + co2_c + skgmeACP_c
26577,MALTTRpts,Maltotriose transport via PTS,malttr_e + pep_c <==> malttr6p_c + pyr_c
26578,MDH3_1,Malate dehydrogenase (menaquinone 7 as acceptor),mal__L_c + mqn7_c <==> mql7_c + oaa_c
26579,MEPCT_1,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,2me4p_c + ctp_c <==> 4c2me_c + ppi_c
26580,METSOX1abc,L-Methionine S-oxide transport via ABC system,atp_c + h2o_c + metsox_S__L_e <==> adp_c + h_c + metsox_S__L_c + pi_c
26581,MFUMt8,Na+/fumarate symporter,fum_e + na1_e <==> fum_c + na1_c
26582,MI1PP_1,Myo-inositol 1-phosphatase,h2o_c + mi1p__D_c <==> h_c + inost_c + pi_c
26583,MI3PP_1,Myo-inositol 3-phosphatase,h2o_c + mi3p__D_c <==> h_c + inost_c + pi_c
26584,MI4PP_1,Myo-inositol 4-phosphatase,h2o_c + mi4p__D_c <==> h_c + inost_c + pi_c
26585,MOADSUx_1,"MoaD sulfuration (nadh, assumed)",moadamp_c + nadh_c + sufsesh_c <==> amp_c + moadcosh_c + nad_c + sufse_c
26586,MTDACP,12-methyl-tetra-decanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ,12methedec_c + h_c + malACP_c <==> 14m3ohdACP_c + ACP_c + co2_c
26587,NADK_1,NAD kinase,atp_c + nad_c <==> adp_c + nadp_c
26588,NADKd,NAD kinase dTTP ,dttp_c + nad_c <==> dtdp_c + nadp_c
26589,NADS1_1,NAD synthase (nh3),atp_c + dnad_c + nh4_c <==> amp_c + nad_c + ppi_c
26590,NALN6_1,N-acetyl-LL-diaminopimelate aminotransferase,akg_c + nal2a6o_c <==> glu__L_c + n6all26d_c
26591,NTD1_1,5'-nucleotidase (dUMP),dump_c + h2o_c <==> duri_c + h_c + pi_c
26592,NTPP10_1,Nucleoside triphosphate pyrophosphorylase (ditp),ditp_c + h2o_c <==> dimp_c + ppi_c
26593,OCBT_2,Ornithine carbamoyltransferase,cbp_c + orn_c <==> citr__L_c + 2.0 h_c + pi_c
26594,OSUCCL,Oxalosuccinate carboxy-lyase (2-oxoglutarate-forming),h_c + osuc_c <==> akg_c + co2_c
26595,P5CR2,Pyrroline-5-carboxylate reductas (NAD),1pyr5c_c + h_c + nadh_c <==> nad_c + pro__L_c
26596,PAP,Phosphatidate phosphatase,h2o_c + ptdoh_MRSA_c <==> dag_MRSA_c + pi_c
26597,PAPT,Phospho-N-acetylmuramoyl-pentapeptide-transferase,uamaglaa_c + udcpp_c <==> ump_c + updpamaglaa_c
26598,PAT2,Incorporation of exogenous fatty acids via two-component fatty acid kinase,0.422905706192 12methedec_e + 0.00667745851882 12mtACP_e + 0.0898421691623 13mtdACP_e + 0.185451234318 14mhdACP_e + 0.0175030352084 14mpACP_e + 0.0797248077701 15mhdACP_e + 0.0576689599352 16mhdACP_e + 0.0107244030757 16mpACP_e + 0.0362201537839 17mhdACP_e + 0.012950222582 hedACP_e + 0.00202347227843 myrsACP_e + 0.0447187373533 octACP_e + 0.114 pi_c + 0.0335896398219 vegACP_e <==> 0.114 ACP_c + act_c
26599,PDTL,Peptidoglycan dimer transpeptidation (long strand),78.0 h2o_c + 26.0 pepd_w <==> PG__L_w + 94.0 ala__D_c + 26.0 h_c + 25.0 udcpdp_w
26600,PEPMF,Peptidoglycan Lipid II gly(5) Flippase,pepm_c <==> pepm_w
26601,PFK_4,Phosphofructokinase (s7p),atp_c + s7p_c <==> adp_c + s17bp_c
26602,PGLYST,Phosphatidylglycerol lysyltransferase,lys__L_c + pg_MRSA_c <==> pglys_MRSA_c
26603,PGPP_MRSA,Phosphatidylglycerophosphatase,h2o_c + pgp_MRSA_c <==> pg_MRSA_c + pi_c
26604,PIMR,Enoylpimeloyl-ACP methyl ester reduction,epmeACP_c + h_c + nadph_c <==> nadp_c + pmlmeACP_c
26605,PLPS_1,Pyridoxal-5-phosphate synthase,g3p_c + gln__L_c + ru5p__D_c <==> glu__L_c + 3.0 h2o_c + 2.0 h_c + pi_c + pydx5p_c
26606,PMPS,Phosphomethylpyrimidine synthase,air_c + amet_c <==> 4ahmmp_c + co_c + dad_5_c + for_c + met__L_c
26607,PMTSS,Peptide-methionine thioredoxin-disulfide S-oxidoreductase ,h2o_c + pep_met__L_c + trdox_c <==> pep_met_LRS_c + trdrd_c
26608,PNP_1,Purine-nucleoside phosphorylase,pi_c + rnam_c <==> ncam_c + r1p_c
26609,POX3,Pyruvate:menaquinone oxidoreductase,h2o_c + mqn7_c + pyr_c <==> ac_c + co2_c + mql7_c
26610,PPItex,"Diphosphate transporter, ",h_c + ppi_c <==> h_e + ppi_e
26611,PRATPP_1,Phosphoribosyl-ATP pyrophosphatase,h2o_c + prbatp_c <==> ppi_c + prbamp_c
26612,PROHISGLUtr,Tripeptide Opp3 transport,atp_c + h2o_c + prohisglu_e <==> adp_c + h_c + pi_c + prohisglu_c
26613,PSCVT_1,3-phosphoshikimate 1-carboxyvinyltransferase,pep_c + skm5p_c <==> 3psme_c + h_c + pi_c
26614,PSP_L_1,Phosphoserine phosphatase (L-serine),h2o_c + pser__L_c <==> h_c + pi_c + ser__L_c
26615,PSQSYN,Presqualene synthase,2.0 frdp_c <==> ppi_c + psdp_c
26616,PTHRP,Phospho-threonine phosphatase,h2o_c + thrp_c <==> pi_c + thr__L_c
26617,PUNP1_1,Purine-nucleoside phosphorylase (Adenosine),adn_c + h_c + pi_c <==> ade_c + r1p_c
26618,PUNP4_1,Purine-nucleoside phosphorylase (Deoxyguanosine),dgsn_c + h_c + pi_c <==> 2dr1p_c + gua_c
26619,PUNP5_1,Purine-nucleoside phosphorylase (Inosine),h_c + ins_c + pi_c <==> hxan_c + r1p_c
26620,PUNP6_1,Purine-nucleoside phosphorylase (Deoxyinosine),din_c + h_c + pi_c <==> 2dr1p_c + hxan_c
26621,PUNP7_1,Purine-nucleoside phosphorylase (Xanthosine),h_c + pi_c + xtsn_c <==> r1p_c + xan_c
26622,PYNP1_1,Pyrimidine-nucleoside phosphorylase (cytosine),cytd_c + h_c + pi_c <==> csn_c + r1p_c
26623,RBFK_1,Riboflavin kinase,atp_c + ribflv_c <==> adp_c + fmn_c
26624,RBK_Dr_1,D-ribulokinase (reversible),atp_c + rbl__D_c <==> adp_c + ru5p__D_c
26625,RBTCT,Ribitol-5-phosphate cytidylyltransferase,ctp_c + h_c + rbt5p_c <==> cdprib_c + ppi_c
26626,SAS89,Rxn07486 ,h_c + l23uo_c + pplhis_c <==> ascb6p_c + phis__L_c
26627,SERGLUGLNtr,Tripeptide transport,atp_c + h2o_c + serglugly_e <==> adp_c + h_c + pi_c + serglugly_c
26628,SHKK_1,Shikimate kinase,atp_c + skm_c <==> adp_c + skm5p_c
26629,SMIA1,Staphyloferrin A Mediated Iron Acquisition,fe2_e + stfrnA_e <==> istfrnA_e
26630,SMIA1Eabc,Siderophore Mediated Iron Acquisition: Staphyloferrin A export,atp_c + h2o_c + stfrnA_c <==> adp_c + h_c + pi_c + stfrnA_e
26631,SMIA1abc,Siderophore Mediated Iron Acquisition: Staphyloferrin A transport via ABC,atp_c + h2o_c + istfrnB_e <==> adp_c + fe2_c + h_c + pi_c + stfrnB_c
26632,SMIB1,Staphyloferrin B Mediated Iron Acquisition,fe2_e + stfrnB_e <==> istfrnB_e
26633,SRK,Serine kinase,3php_c + atp_c <==> adp_c + h_c + pser__L_c
26634,STFRNAt,,stfrnA_c <==> stfrnA_e
26635,STFRNBt,,stfrnB_c <==> stfrnB_e
26636,STFRNS,Staphyloferrin B Synthase,akg_c + atp_c + h2o_c + ldpcde_c <==> amp_c + h_c + ppi_c + stfrnB_c
26637,SUCBZL_1,O-succinylbenzoate-CoA ligase,atp_c + coa_c + h_c + sucbz_c <==> amp_c + ppi_c + sbzcoa_c
26638,SUCD2,Succinate dehydrogenase dehydrogenase (menaquinone 8 as acceptor),fad_c + 2.0 h_c + mqn7_c + succ_c <==> fadh2_c + fum_c + mql7_c
26639,TAAL,D-alanine carrier protein:PG D-alanyltransferase,alaACP_c + pg_MRSA_c <==> ACP_c + pg_MRSA_ala_c
26640,TAALT,Teichoic acid D-alanyltransferase,LTA_w + pg_MRSA_ala_c <==> LTA_ala_w + pg_MRSA_c
26641,THMPP,Thiamine Monophosphate Phosphatase,h2o_c + thmmp_c <==> ppi_c + thm_c
